testimonial_id	klant_naam	gebruikte_service	beoordeling_tekst	datum_review	is_actief
1	Janne	haarkleuring	Fantastisch kapsalon met zeer professionele kappers. Ik kwam hier na een mislukte balayage op een zaterdagavond en ik werd super vriendelijk ontvangen en ze hebben heel mijn kapsel gered en er iets heel mooi van gemaakt.		true
2	Stijn	haarstyling	Fantastische zaak. Prachtig interieur, zeer goed advies en producten. Naast jarenlange ervaring in knippen, ook nog eens zeer ontspannend om naartoe te gaan. Vriendelijk personeel, altijd een lach, een koffietje of drankje erbij. De massages van Fleur zijn zeker ook een aanrader!		true
3	Joke	haarstyling	Keer op keer een aangename ontvangst in een zeer proper salon! De producten die ze gebruiken van Aveda zijn eerlijk en natuurlijk. De kappers/kapsters bekijken je haar en gezicht voor ze knippen en geven tijdens het knippen advies. Nog nooit met een slecht gevoel buitengekomen! Voor Corona kreeg je een fijne massage van nek en rug, tijdens het knippen een handmassage en een drankje. Een aanrader!		true
4	Vicky	haarkleuring	Vakkundige kapper. Aangename omgeving , iedereen probeert het zeer Zen te houden naar de oorspronkelijke filosofie van de stichters van AVEDA.		true
